header,category,location,title,description,website_url,image_url,youtube_url
나의,영등포구,,대방천 생태하천 복원,,https://www.seoul2030.com/54,https://cdn.imweb.me/thumbnail/20220510/f355d273ee367.jpg,
나의,영등포구,,선유도공원 자연친화형 패밀리 테마파크 조성,,https://www.seoul2030.com/54,https://cdn.imweb.me/thumbnail/20220510/f355d273ee367.jpg,
나의,영등포구,,남부도로사업소 부지 내 문화창업 공간조성,,https://www.seoul2030.com/54,https://cdn.imweb.me/thumbnail/20220510/f355d273ee367.jpg,
나의,은평구,,서울시립대 은평캠퍼스 조성,,https://www.seoul2030.com/43,https://cdn.imweb.me/thumbnail/20220510/6c13b7fe72ef6.jpg,
나의,은평구,,신분당선 은평뉴타운 거쳐 서북부연장,,https://www.seoul2030.com/43,https://cdn.imweb.me/thumbnail/20220510/6c13b7fe72ef6.jpg,
나의,은평구,,서부경전철 조속추진,,https://www.seoul2030.com/43,https://cdn.imweb.me/thumbnail/20220510/6c13b7fe72ef6.jpg,
나의,은평구,,고양-은평선 신사고개역 신설 검토,,https://www.seoul2030.com/43,https://cdn.imweb.me/thumbnail/20220510/6c13b7fe72ef6.jpg,
나의,은평구,,수색DMC역 역세권 개발 및 환승센터 건립,,https://www.seoul2030.com/43,https://cdn.imweb.me/thumbnail/20220510/6c13b7fe72ef6.jpg,
나의,은평구,,제2통일로 은평새길 백련산로 도로 확장,,https://www.seoul2030.com/43,https://cdn.imweb.me/thumbnail/20220510/6c13b7fe72ef6.jpg,
나의,은평구,,녹번응암 지역내 중학교 건립,,https://www.seoul2030.com/43,https://cdn.imweb.me/thumbnail/20220510/6c13b7fe72ef6.jpg,
나의,종로구,,신분당선 세검정 상명대역 신설검토,,https://www.seoul2030.com/44,https://cdn.imweb.me/thumbnail/20220510/dcf451f24c92a.jpg,
나의,종로구,,인사동 대학로 문화관광특화지구 조성,,https://www.seoul2030.com/44,https://cdn.imweb.me/thumbnail/20220510/dcf451f24c92a.jpg,
나의,종로구,,지역산업조합지원센터로 도심제조업 활성화,,https://www.seoul2030.com/44,https://cdn.imweb.me/thumbnail/20220510/dcf451f24c92a.jpg,
나의,중구,,중구청 자리에 서울메이커스파크 건립,,https://www.seoul2030.com/46,https://cdn.imweb.me/thumbnail/20220510/fa1860a163b40.jpg,
나의,중구,,남대문 시장 재도약,,https://www.seoul2030.com/46,https://cdn.imweb.me/thumbnail/20220510/fa1860a163b40.jpg,
나의,중구,,인쇄업 보존 및 고도화 위한 허브 조성,,https://www.seoul2030.com/46,https://cdn.imweb.me/thumbnail/20220510/fa1860a163b40.jpg,
나의,중랑구,,면목선(신내-면목-청량리역),,https://www.seoul2030.com/40,https://cdn.imweb.me/thumbnail/20220510/9193438e2fee8.jpg,
나의,중랑구,,신내차량기지 이전 및 테크노밸리 조성,,https://www.seoul2030.com/40,https://cdn.imweb.me/thumbnail/20220510/9193438e2fee8.jpg,
나의,중랑구,,"중랑둘레길, 용마폭포공원까지 연장",,https://www.seoul2030.com/40,https://cdn.imweb.me/thumbnail/20220510/9193438e2fee8.jpg,
나의,중랑구,,GTX-B 망우-청량리 조기착공,,https://www.seoul2030.com/40,https://cdn.imweb.me/thumbnail/20220510/9193438e2fee8.jpg,
나의,중랑구,,면목유수지 문화체육복합센터 건립,,https://www.seoul2030.com/40,https://cdn.imweb.me/thumbnail/20220510/9193438e2fee8.jpg,
나의,중랑구,,구 중랑경찰서 부지활용 문화복지복합센터,,https://www.seoul2030.com/40,https://cdn.imweb.me/thumbnail/20220510/9193438e2fee8.jpg,
